src,rel,dst,src_label,dst_label,row_id
node:f16d2b3cf78c5bec,been,node:31c7a3b75acf66ed,protection,torn,15590
node:cfa028497c4dc47a,been,node:31c7a3b75acf66ed,fall-through protection,torn,15590
node:cfa028497c4dc47a,been torn out of,node:829684e8a2806bff,fall-through protection,its fastening,15590
node:f16d2b3cf78c5bec,been torn out of,node:829684e8a2806bff,protection,its fastening,15590
node:40817207e005bdf5,were,node:034f0ffc16ba0fb1,Pallets cages,stored incorrectly,15590
node:40817207e005bdf5,were,node:9b2811fdb8798f80,Pallets cages,stored,15590
node:31293efe993c24ad,type of is,node:1c1b1bd9d2192d38,impact,Damage,15590
node:94894d0480830370,is,node:1c1b1bd9d2192d38,type,Damage,15590
node:1a345cef2abea8d3,is,node:30b402df5de31446,severity value,2.0,15590
node:f65bceae9e1f5084,is,node:f9d5f765546f2696,description,Exposure,15590
node:f65bceae9e1f5084,is Exposure to,node:3a6b50ed4095dd4c,description,activity by location,15590
node:f65bceae9e1f5084,is Exposure to,node:107af1ad6cd438ad,description,activity,15590
node:94894d0480830370,description of is,node:93f0ff3210061310,type,Exposure to activity,15590
node:94894d0480830370,description of is,node:f9d5f765546f2696,type,Exposure,15590
node:94894d0480830370,description of is,node:0ceb2ed48a6b1d28,type,Exposure to activity by location,15590
node:107af1ad6cd438ad,occurs,node:51b261e0c76bbef8,Activity,weekly,15590
node:b66ca7b81154bd22,is,node:ee61f61ead7008d8,value,5.0,15590
node:8987dddee8db0aa6,is,node:30a3d0c53ccd6c66,criticality,32.0,15590
node:6ad8136021b8f634,is,node:18769c6ca5c2e6a5,risk color,Yellow,15590
node:b66ca7b81154bd22,is,node:ecbe613e47a50e47,value,16.0,15590
node:6ad8136021b8f634,is,node:18769c6ca5c2e6a5,risk color,Yellow,15590
node:688608fa38c6d97c,is,node:18769c6ca5c2e6a5,mitigated risk color,Yellow,15590
node:ebd9f7059080901b,is,node:150a24f7bf3f4ae1,system,Intelex,15590
node:1dc98cc9a40e5a79,is,node:31e9e722cb510113,date,2023-07-06 00:00:00.000,15590
node:9e0a3afd66f4fadf,title of is,node:d1f0380090667598,case,Diarrhea protection,15590
node:f02496fb1c3a429d,is,node:4233d95cc418823b,title,Diarrhea protection hit by shelf,15590
node:9e0a3afd66f4fadf,title of is,node:d8ff56e83e8cf384,case,Diarrhea protection hit,15590
node:9e0a3afd66f4fadf,title of is,node:4233d95cc418823b,case,Diarrhea protection hit by shelf,15590
node:f02496fb1c3a429d,is,node:d8ff56e83e8cf384,title,Diarrhea protection hit,15590
node:f02496fb1c3a429d,is,node:d1f0380090667598,title,Diarrhea protection,15590
node:afc97a12f07d4317,is,node:50ab6bc779fa9600,General Business Unit involved,Surface,15590
node:c6266c80782ca872,involved in,node:9e0a3afd66f4fadf,General Business Unit,case,15590
node:efb0833c3b6eb969,is,node:f4173d42442efd27,specific Business Unit,Production Solutions,15590
node:02b2c2d0700811c7,is,node:f4173d42442efd27,Business Unit,Production Solutions,15590
node:02b2c2d0700811c7,involved in,node:9e0a3afd66f4fadf,Business Unit,case,15590
node:efb0833c3b6eb969,involved in,node:9e0a3afd66f4fadf,specific Business Unit,case,15590
node:9e0a3afd66f4fadf,occurred at,node:07c2fc087cd38657,case,workplace,15590
node:5322bd41eb35fa05,is,node:a5e8d30551a7cb72,name,Non Project Specific,15590
node:99ac13c2bb0f4fc7,is,node:37073c22143d518f,client,SMITH METER GMBH,15590
node:d9d10f1dc86defd4,is,node:562a614a62bfbd0f,case categorization,Standard Operating Procedures,15590
node:d9d10f1dc86defd4,is,node:3b6a4b81911bbbd9,case categorization,Operating Procedures,15590
node:f4fb9429ef1c1c5d,is,node:8dac4b27874f4313,work process,Construction,15590
node:9e0a3afd66f4fadf,was reported on,node:6d240c58fba3263c,case,2023-07-07,15590
