query_id,name,query_type,strategy,entity_filters,meta_filters,narrative_keywords,require_connected,output_mode,output_target,output_top_n,coverage_thresholds,diagnosis_rule,custom_fn,ground_truth,notes,expected_count
SH-01,What incidents involved forklifts in 2022?,Single-hop,entity_filter,EQUIPMENT:fork\s*lift|flt|forklift:INVOLVED,year == 2022,,,count_incidents,,10,50:1,ER_NEEDED,,,,86
SH-02,What equipment was involved in incident #29857?,Single-hop,spot_check,,,,,aggregate,INCIDENT::29857:EQUIPMENT:INVOLVED,10,4:1,EXTRACTION_GAP,,pry bar|rov|tms|lanyard,TMS appears in narrative and 17 TMS entities exist in graph but GLiNER did not extract it for #29857,
SH-03,What body parts were affected in crane-related incidents?,Single-hop,entity_filter,EQUIPMENT:crane|overhead crane|mobile crane|tower crane|gantry crane|pedestal crane:INVOLVED,,,,aggregate,BODY_PART:AFFECTED,10,5:1,ER_NEEDED,,,,
SH-04,Which locations reported valve-related incidents?,Single-hop,entity_filter,EQUIPMENT:valve|ball valve|check valve|safety relief valve|isolation valve|control valve|pressure valve:INVOLVED,,,,aggregate,LOCATION[country]:OCCURRED_AT,10,3:1,ER_NEEDED,,,,
SH-05,What types of injuries resulted from incidents at offshore installations?,Single-hop,meta_filter,,work_process contains offshore|marine,,,aggregate,INJURY_TYPE:RESULTED_IN,10,5:1,CLEAN,,,,1120
SH-06,What incidents were reported by client SHELL OFFSHORE INC.?,Single-hop,entity_filter,ORGANIZATION:shell offshore:REPORTED_BY,,,,count_incidents,,10,1:0,ER_NEEDED,,,,60
AG-01,What are the most common root causes of dropped object incidents?,Aggregation,narrative_filter,,,dropped,,aggregate,ROOT_CAUSE_CATEGORY:CATEGORIZED_AS,10,3:1,CLEAN,,,,1026
AG-02,Which countries have the highest rate of high-severity incidents?,Aggregation,meta_filter,,severity_bin >= 4,,,aggregate,LOCATION[country]:OCCURRED_AT,10,3:1,CLEAN,,,,167
AG-03,What equipment types are involved in the most incidents overall?,Aggregation,entity_filter,,,,,aggregate,EQUIPMENT:INVOLVED,20,1:0,ER_NEEDED,,,Pre-ER variants are separate,
AG-04,How do incidents break down by type (accident vs. near miss) across business units?,Aggregation,crosstab,,,,,crosstab,business_unit:incident_type,,3:1,DATA_SPARSE,,,70.7% null business_unit in source data — partial coverage is expected and correct,
AG-05,What is the monthly trend of fall/slip incidents over the past 3 years?,Aggregation,entity_filter,ROOT_CAUSE_CATEGORY:fall|slip|trip:CATEGORIZED_AS,,,,count_by_year,,10,12:1,CLEAN,,,,1695
AG-06,What proportion of incidents in each impact type category result in high-severity outcomes?,Aggregation,crosstab,,,,,crosstab,impact_type:severity_bin,,1:0,CLEAN,,,,
MH-01,Find all equipment types involved in containment loss events leading to injuries at offshore locations.,Multi-hop,custom,,,,,,,10,1:1,CLEAN,containment_injury_offshore,,Rare query: containment + injury + offshore,
MH-02,What injury types are associated with equipment failures during maintenance operations?,Multi-hop,intersect,,work_process contains maintenance,fail,,pairs,"EQUIPMENT:INVOLVED,INJURY_TYPE:RESULTED_IN",10,3:1,CLEAN,,,,29
MH-03,Which clients have experienced vessel-related incidents resulting in back injuries?,Multi-hop,intersect,BODY_PART:back:AFFECTED,,"ANY:vessel,marine vessel,ship,barge",,aggregate,ORGANIZATION:REPORTED_BY,10,10:1,ER_NEEDED,,,Broadened from entity_filter (only 1 exact 'vessel' entity) to narrative keywords,
MH-04,What are the most common injury types for each of the top 5 equipment categories?,Multi-hop,custom,,,,,,,10,,ER_NEEDED,top_injury_per_equipment,,,
MH-05,Find incidents where hand injuries occurred during work involving pipes at locations in Asia Pacific.,Multi-hop,intersect,BODY_PART:hand:AFFECTED;EQUIPMENT:pipe:INVOLVED;LOCATION:asia pacific:OCCURRED_AT,,,,count_incidents,,10,5:1,auto,,,,
MH-06,What is the severity distribution of incidents involving trucks compared to those involving cranes?,Multi-hop,custom,,,,,,,10,,ER_NEEDED,severity_comparison,,,
MH-07,Which locations have the highest concentration of near-miss incidents involving scaffolding?,Multi-hop,entity_filter,EQUIPMENT:scaffold:INVOLVED,incident_type contains near miss,,,aggregate,LOCATION[city]:OCCURRED_AT,10,3:1,ER_NEEDED,,,,309
